,Topic,Question,Platform,URL,Notes,Difficulty,Completion
1,Arrays,Two Sum,LeetCode,https://leetcode.com/problems/two-sum/,,Easy,Completed
2,Arrays,Best Time to Buy and Sell Stock,LeetCode,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,,Easy,Completed
3,Arrays,Contains Duplicate,LeetCode,https://leetcode.com/problems/contains-duplicate/,,Easy,Completed
4,Arrays,Maximum Subarray (Kadane’s Algorithm),LeetCode,https://leetcode.com/problems/maximum-subarray/,,Medium,Completed
5,Arrays,Product of Array Except Self,LeetCode,https://leetcode.com/problems/product-of-array-except-self/,,Medium,Completed
6,Arrays,Merge Intervals,LeetCode,https://leetcode.com/problems/merge-intervals/,,Medium,Completed
7,Arrays,3Sum,LeetCode,https://leetcode.com/problems/3sum/,,Medium,Completed
8,Arrays,Set Matrix Zeroes,LeetCode,https://leetcode.com/problems/set-matrix-zeroes/,,Medium,Completed
9,Arrays,Insert Interval,LeetCode,https://leetcode.com/problems/insert-interval/,,Medium,Completed
10,Arrays,Subarray Sum Equals K,LeetCode,https://leetcode.com/problems/subarray-sum-equals-k/,,Medium,Completed
11,Arrays,Find the Duplicate Number,LeetCode,https://leetcode.com/problems/find-the-duplicate-number/,,Medium,Completed
12,Arrays,Maximum Product Subarray,LeetCode,https://leetcode.com/problems/maximum-product-subarray/,,Medium,Completed
13,Strings,Valid Anagram,LeetCode,https://leetcode.com/problems/valid-anagram/,,Easy,Completed
14,Strings,Group Anagrams,LeetCode,https://leetcode.com/problems/group-anagrams/,,Medium,Completed
15,Strings,Longest Substring Without Repeating Characters,LeetCode,https://leetcode.com/problems/longest-substring-without-repeating-characters/,,Medium,Completed
16,Strings,Longest Palindromic Substring,LeetCode,https://leetcode.com/problems/longest-palindromic-substring/,,Medium,Completed
17,Strings,Valid Palindrome,LeetCode,https://leetcode.com/problems/valid-palindrome/,,Medium,Completed
18,Strings,String to Integer (atoi),LeetCode,https://leetcode.com/problems/string-to-integer-atoi/,,Medium,Completed
19,Strings,Implement strStr() (KMP/Rabin-Karp),LeetCode,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,,Medium,Completed
20,Strings,Longest Repeating Character Replacement,LeetCode,https://leetcode.com/problems/longest-repeating-character-replacement/,,Medium,Completed
21,Strings,Minimum Window Substring,LeetCode,https://leetcode.com/problems/minimum-window-substring/,,Hard,Need to Start
22,Strings,Decode String,LeetCode,https://leetcode.com/problems/decode-string/,,Medium,Completed
23,Strings,Valid Parentheses,LeetCode,https://leetcode.com/problems/valid-parentheses/,,Easy,Completed
24,Strings,Roman to Integer,LeetCode,https://leetcode.com/problems/roman-to-integer/,,Medium,Completed
25,Hash Maps & Sets,Two Sum (Hash Map),LeetCode,https://leetcode.com/problems/two-sum/,,Easy,Completed
26,Hash Maps & Sets,Valid Anagram,LeetCode,https://leetcode.com/problems/valid-anagram/,,Easy,Completed
27,Hash Maps & Sets,Isomorphic Strings,LeetCode,https://leetcode.com/problems/isomorphic-strings/,,Medium,Completed
28,Hash Maps & Sets,Word Pattern,LeetCode,https://leetcode.com/problems/word-pattern/,,Medium,Need to Start
29,Hash Maps & Sets,Group Anagrams,LeetCode,https://leetcode.com/problems/group-anagrams/,,Medium,Completed
30,Hash Maps & Sets,Longest Consecutive Sequence,LeetCode,https://leetcode.com/problems/longest-consecutive-sequence/,,Medium,Completed
31,Hash Maps & Sets,Ransom Note,LeetCode,https://leetcode.com/problems/ransom-note/,,Medium,Need to Start
32,Hash Maps & Sets,Happy Number,LeetCode,https://leetcode.com/problems/happy-number/,,Medium,Need to Start
33,Hash Maps & Sets,Subarray Sum Equals K,LeetCode,https://leetcode.com/problems/subarray-sum-equals-k/,,Medium,Need to Start
34,Hash Maps & Sets,Top K Frequent Elements,LeetCode,https://leetcode.com/problems/top-k-frequent-elements/,,Medium,Need to Start
35,Hash Maps & Sets,LRU Cache (HashMap + DLL),LeetCode,https://leetcode.com/problems/lru-cache/,,Medium,Need to Start
36,Hash Maps & Sets,Design Underground System (Hash Map design),LeetCode,https://leetcode.com/problems/design-underground-system/,,Medium,Need to Start
37,Linked Lists,Reverse Linked List,LeetCode,https://leetcode.com/problems/reverse-linked-list/,,Easy,Need to Start
38,Linked Lists,Merge Two Sorted Lists,LeetCode,https://leetcode.com/problems/merge-two-sorted-lists/,,Medium,Need to Start
39,Linked Lists,Linked List Cycle,LeetCode,https://leetcode.com/problems/linked-list-cycle/,,Medium,Need to Start
40,Linked Lists,Remove Nth Node From End of List,LeetCode,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,,Medium,Need to Start
41,Linked Lists,Intersection of Two Linked Lists,LeetCode,https://leetcode.com/problems/intersection-of-two-linked-lists/,,Medium,Need to Start
42,Linked Lists,Palindrome Linked List,LeetCode,https://leetcode.com/problems/palindrome-linked-list/,,Medium,Need to Start
43,Linked Lists,Add Two Numbers,LeetCode,https://leetcode.com/problems/add-two-numbers/,,Medium,Need to Start
44,Linked Lists,Reorder List,LeetCode,https://leetcode.com/problems/reorder-list/,,Medium,Need to Start
45,Linked Lists,Swap Nodes in Pairs,LeetCode,https://leetcode.com/problems/swap-nodes-in-pairs/,,Medium,Need to Start
46,Linked Lists,Odd Even Linked List,LeetCode,https://leetcode.com/problems/odd-even-linked-list/,,Medium,Need to Start
47,Linked Lists,Sort List,LeetCode,https://leetcode.com/problems/sort-list/,,Medium,Need to Start
48,Linked Lists,Copy List with Random Pointer,LeetCode,https://leetcode.com/problems/copy-list-with-random-pointer/,,Medium,Need to Start
49,Stack & Queue,Valid Parentheses,LeetCode,https://leetcode.com/problems/valid-parentheses/,,Easy,Need to Start
50,Stack & Queue,Min Stack,LeetCode,https://leetcode.com/problems/min-stack/,,Medium,Need to Start
51,Stack & Queue,Evaluate Reverse Polish Notation,LeetCode,https://leetcode.com/problems/evaluate-reverse-polish-notation/,,Medium,Need to Start
52,Stack & Queue,Daily Temperatures,LeetCode,https://leetcode.com/problems/daily-temperatures/,,Medium,Need to Start
53,Stack & Queue,Next Greater Element I/II,LeetCode,https://leetcode.com/problems/next-greater-element-ii/,,Medium,Need to Start
54,Stack & Queue,Implement Queue using Stacks,LeetCode,https://leetcode.com/problems/implement-queue-using-stacks/,,Medium,Need to Start
55,Stack & Queue,Largest Rectangle in Histogram,LeetCode,https://leetcode.com/problems/largest-rectangle-in-histogram/,,Medium,Need to Start
56,Stack & Queue,Sliding Window Maximum (Deque),LeetCode,https://leetcode.com/problems/sliding-window-maximum/,,Medium,Need to Start
57,Stack & Queue,Simplify Path,LeetCode,https://leetcode.com/problems/simplify-path/,,Medium,Need to Start
58,Stack & Queue,Binary Tree Zigzag Level Order Traversal (Queue BFS),LeetCode,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,,Medium,Need to Start
59,Stack & Queue,Asteroid Collision,LeetCode,https://leetcode.com/problems/asteroid-collision/,,Medium,Need to Start
60,Stack & Queue,Implement Stack using Queues,LeetCode,https://leetcode.com/problems/implement-stack-using-queues/,,Medium,Need to Start
61,Binary Trees & BST,Invert Binary Tree,LeetCode,https://leetcode.com/problems/invert-binary-tree/,,Medium,Need to Start
62,Binary Trees & BST,Maximum Depth of Binary Tree,LeetCode,https://leetcode.com/problems/maximum-depth-of-binary-tree/,,Easy,Need to Start
63,Binary Trees & BST,Diameter of Binary Tree,LeetCode,https://leetcode.com/problems/diameter-of-binary-tree/,,Medium,Need to Start
64,Binary Trees & BST,Path Sum,LeetCode,https://leetcode.com/problems/path-sum/,,Medium,Need to Start
65,Binary Trees & BST,Balanced Binary Tree,LeetCode,https://leetcode.com/problems/balanced-binary-tree/,,Medium,Need to Start
66,Binary Trees & BST,Symmetric Tree,LeetCode,https://leetcode.com/problems/symmetric-tree/,,Medium,Need to Start
67,Binary Trees & BST,Binary Tree Level Order Traversal,LeetCode,https://leetcode.com/problems/binary-tree-level-order-traversal/,,Medium,Need to Start
68,Binary Trees & BST,Lowest Common Ancestor of a BST,LeetCode,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,,Medium,Need to Start
69,Binary Trees & BST,Validate Binary Search Tree,LeetCode,https://leetcode.com/problems/validate-binary-search-tree/,,Medium,Need to Start
70,Binary Trees & BST,Construct Binary Tree from Preorder and Inorder Traversal,LeetCode,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,,Medium,Need to Start
